"names.u.","u","n","diff"
"dont",0.223273415326395,0.147497909948644,0.075775505377751
"time",0.339898512083943,0.26645168995581,0.0734468221281322
"look",0.201857744904103,0.130777499104264,0.0710802457998388
"tri",0.258794185946504,0.18774632748119,0.0710478584653143
"littl",0.193601100885869,0.13137465663442,0.0622264442514489
"peopl",0.152403887503225,0.0975755404275648,0.0548283470756605
"menu",0.151801840543562,0.102113937656754,0.0496879028868086
"drink",0.1548980820504,0.105696882837693,0.0492011992127073
"tabl",0.123677646856455,0.0759584378359011,0.0477192090205537
"night",0.136578653134945,0.0893347665114057,0.0472438866235388
"day",0.13829878730541,0.0933954377164696,0.0449033495889402
"didnt",0.145093317278748,0.100322465066284,0.0447708522124633
"pretti",0.153866001548121,0.109638122536725,0.0442278790113956
"bar",0.130730196955363,0.086587841872686,0.0441423550826765
"restaur",0.165992947449901,0.123492177236355,0.0425007702135461
"review",0.114732949170035,0.0722560611489311,0.0424768880211042
"friend",0.253461770018061,0.211393765675385,0.0420680043426762
"ive",0.17123935666982,0.130180341574107,0.041059015095713
"eat",0.154296035090737,0.113579362235758,0.0407166728549793
"fresh",0.122301539520083,0.0833631912098412,0.0389383483102414
"chees",0.108024425905221,0.0692702734981488,0.0387541524070718
"wait",0.142599122731573,0.104621999283411,0.0379771234481621
"flavor",0.116367076631977,0.0788247939806521,0.0375422826513252
"tast",0.131160230497979,0.0936343007285322,0.0375259297694467
"sauc",0.102175969725639,0.0653290337991162,0.0368469359265224
"serv",0.103982110604627,0.0672399378956169,0.0367421727090103
"start",0.0878988561107766,0.0512361160874239,0.0366627400233528
"walk",0.0993377483443709,0.0634181297026156,0.0359196186417553
"sweet",0.0808463060118689,0.0456228353039532,0.0352234707079157
"perfect",0.0964135202545799,0.0613877941000836,0.0350257261544963
"actual",0.0825664401823342,0.0482503284366416,0.0343161117456926
"that",0.0850606347295089,0.05087782156933,0.0341828131601789
"lot",0.130386170121269,0.0962617938612206,0.0341243762600489
"star",0.117399157134256,0.0839603487399976,0.0334388083942589
"top",0.0961555001290101,0.0632986981965843,0.0328568019324258
"hour",0.114646942461512,0.0819300131374657,0.0327169293240463
"ill",0.0754278833749032,0.0428759106652335,0.0325519727096698
"check",0.0865227487744044,0.0543413352442374,0.032181413530167
"decid",0.0780940913391245,0.0461005613280783,0.0319935300110461
"enjoy",0.118345230928012,0.086587841872686,0.0317573890553264
"bad",0.102692009976778,0.0710617460886182,0.03163026388816
"bit",0.106562311860325,0.0751224172936821,0.031439894566643
"meal",0.102950030102348,0.0715394721127433,0.0314105579896047
"nice",0.193171067343253,0.161949122178431,0.0312219451648221
"wasnt",0.0918551647028468,0.0606712050638959,0.031183959638951
"fri",0.107336372237034,0.076316732353995,0.0310196398830395
"feel",0.109572546658639,0.0793025200047773,0.0302700266538621
"phoenix",0.0928012384966027,0.0629404036784904,0.0298608348181124
"mayb",0.0713855680743098,0.0418010271109519,0.0295845409633579
"cant",0.107680399071128,0.0783470679565269,0.0293333311146006
"sit",0.0720736217424959,0.0429953421712648,0.0290782795712311
"hot",0.0832544938505203,0.0542219037382061,0.0290325901123142
"insid",0.0679452997333792,0.0397706915084199,0.0281746082249593
"minut",0.0833405005590436,0.0551773557864565,0.0281631447725871
"close",0.0746538229981939,0.0468171503642661,0.0278366726339278
"dine",0.0570224477509246,0.0292607189776663,0.0277617287732583
"call",0.0784381181732175,0.0507583900632987,0.0276797281099188
"seat",0.0853186548550787,0.0576854174131136,0.0276332374419651
"dinner",0.0896189902812419,0.0623432461483339,0.027275744132908
"home",0.0878128494022534,0.0605517735578646,0.0272610758443888
"your",0.0779220779220779,0.0509972530753613,0.0269248248467166
"park",0.0707835211146469,0.0447868147617341,0.0259967063529128
"tasti",0.0843725810613228,0.0586408694613639,0.0257317115999589
"love",0.235400361228176,0.209841156096978,0.0255592051311974
"hous",0.0609787563429948,0.0354711572912934,0.0255075990517013
"tell",0.0575384880020642,0.0323659381344799,0.0251725498675843
"light",0.0551303001634127,0.0299773080138541,0.0251529921495587
"come",0.087038789025544,0.0621043831362713,0.0249344058892726
"bread",0.0680313064419025,0.0431147736772961,0.0249165327646064
"offer",0.0737077492044379,0.0489669174728293,0.0247408317316086
"includ",0.0501419110690634,0.025438910784665,0.0247030002843984
"mean",0.0502279177775867,0.0255583422906963,0.0246695754868904
"probabl",0.0718156016169261,0.04717544488236,0.0246401567345661
"person",0.0685473466930421,0.0444285202436403,0.0241188264494018
"door",0.0534961727014707,0.0294995819897289,0.0239965907117418
"live",0.0796422120925432,0.0557745133166129,0.0238676987759303
"server",0.0760299303345661,0.0521915681356742,0.0238383621988919
"found",0.0777500645050314,0.0539830407261436,0.0237670237788878
"happi",0.100025802012557,0.076316732353995,0.023709069658562
"item",0.0687193601100886,0.0450256777737967,0.0236936823362919
"locat",0.110518620452395,0.0868267048847486,0.0236919155676467
"line",0.0520340586565752,0.0286635614475099,0.0233704972090654
"experi",0.107164358819988,0.0839603487399976,0.0232040100799903
"head",0.0415412402167369,0.0183924519288188,0.0231487882879181
"hard",0.0617528167197041,0.0386958079541383,0.0230570087655658
"huge",0.0725036552851122,0.0496835065090171,0.0228201487760952
"get",0.0583985550872968,0.035710020303356,0.0226885347839408
"definit",0.114560935752989,0.0919622596440941,0.0225986761088946
"visit",0.0963275135460566,0.0738086707273379,0.0225188428187187
"guy",0.0644190246839254,0.0419204586169832,0.0224985660669422
"water",0.0518620452395287,0.0294995819897289,0.0223624632497998
"arriv",0.0467016427281328,0.0243640272303834,0.0223376154977494
"serious",0.042229293884923,0.0201839245192882,0.0220453693656348
"doesnt",0.0496258708179238,0.0275886778932282,0.0220371929246956
"name",0.0509159714457728,0.0289024244595724,0.0220135469862003
"expect",0.0748258364152404,0.0529081571718619,0.0219176792433785
"wine",0.061064763051518,0.0391735339782635,0.0218912290732546
"coupl",0.0614087898856111,0.0396512600023886,0.0217575298832224
"couldnt",0.0454975488088071,0.0238863012062582,0.0216112476025489
"front",0.0489378171497377,0.0274692463871969,0.0214685707625407
"dish",0.082824460307904,0.0613877941000836,0.0214366662078204
"glass",0.0426593274275393,0.0212588080735698,0.0214005193539695
"meat",0.0655371118947278,0.0444285202436403,0.0211085916510875
"final",0.0532381525759009,0.0322465066284486,0.0209916459474523
"special",0.0894469768641954,0.0686731159679924,0.020773860896203
"salad",0.0991657349273243,0.0784664994625582,0.0206992354647661
"cool",0.0657091253117743,0.045145109279828,0.0205640160319463
"delici",0.12169949256042,0.101158485608504,0.0205410069519162
"told",0.0574524812935409,0.0376209243998567,0.0198315568936842
"fill",0.0503999311946332,0.0305744655440105,0.0198254656506227
"pick",0.0514320116969124,0.0316493490982921,0.0197826625986202
"plate",0.057796508127634,0.0380986504239818,0.0196978577036521
"cook",0.0615808033026576,0.0419204586169832,0.0196603446856745
"cours",0.048077750064505,0.0284246984354473,0.0196530516290578
"set",0.0433473810957255,0.0237668697002269,0.0195805113954985
"favorit",0.0956394598778705,0.0760778693419324,0.0195615905359381
"bring",0.0579685215446805,0.0384569449420757,0.0195115766026048
"hope",0.0473896963963189,0.0279469724113221,0.0194427239849968
"there",0.0462716091855165,0.0268720888570405,0.019399520328476
"run",0.0497118775264471,0.0303356025319479,0.0193762749944991
"shop",0.0715575814913563,0.0521915681356742,0.0193660133556821
"chicken",0.11774318396835,0.0985309924758151,0.0192121914925344
"patio",0.0541842263696568,0.0351128627731996,0.0190713635964573
"spot",0.0638169777242625,0.0449062462677654,0.0189107314564971
"stuff",0.0475617098133654,0.0287829929535411,0.0187787168598243
"instead",0.0442074481809581,0.025438910784665,0.0187685373962931
"select",0.082480433473811,0.0637764242207094,0.0187040092531015
"cream",0.0481637567730283,0.0294995819897289,0.0186641747832994
"wall",0.0362088242882945,0.0175564313865998,0.0186523929016947
"food",0.397350993377483,0.378717305625224,0.0186336877522595
"free",0.0611507697600413,0.0425176161471396,0.0186331536129017
"bean",0.0460995957684699,0.0274692463871969,0.018630349381273
"lunch",0.108884492990453,0.090290218559656,0.0185942744307972
"worth",0.0763739571686592,0.0579242804251762,0.018449676743483
